,ID,NAME,OriginNode,DestinationNode,Results
0,1,Altman Al,46052,104529,
1,4,Aries & Co,60713,46052,
2,6,Atlanta Knitg Mills Inc,77926,60729,
3,7,Aunt Chan Handbags,40335,77950,
4,11,Bargain World,154556,36289,
5,75,Durham Mills,74759,60673,
6,77,Eddy Socks,78569,74759,
7,78,Edith & Shelly Enterprise,77878,78569,
8,82,Elder Mfg Co,74687,77894,
9,85,Enchante Inc,78481,74687,
10,86,Ergee International Inc,78569,78513,
11,87,Esk Inc,60689,78569,
12,89,Eva Joia Inc,77974,60689,
13,91,Famous Knitwear Corp,73499,78473,
14,93,Fashion Rite Girl Coat Co,77878,77838,
15,94,Fastrax Inc,74032,77902,
16,97,Felix's Fashions,78545,77862,
17,98,Fire,78481,78545,
18,99,Florisa Girls Dresses,55612,78481,
19,101,Forty Winhs Inc,77926,37056,
20,102,Foxcraft Industries Inc,78569,77950,
21,147,J A S Kids Jodi Inc,77878,78473,
22,148,Jachsen Assocs Inc,77878,77950,
23,150,Jara,78481,77902,
24,192,Luv-lt Inc,60625,77902,
25,195,Magia Imports Inc,77878,78409,
26,198,Marc Vermont Chldrn's Wr.,77878,77950,
27,200,Mari's Boutique,77926,77902,
28,201,Marho Apparel,78569,54303,
29,202,Maxhnits Berg Inc,77926,78569,
30,205,Michael Friedman Corp,77878,77950,
31,206,Michael Scott Ltd,78481,77894,
32,213,My Boy Sam Ltd,81705,78513,
